,1207,1236,1237,1251,1252,1266,1267,1282,1283,1295,1296,1297,1298,1310,1311,1312,1313,1325,1326,1327,1339,1340,1341,1342,1355,1356,1357,1370,1371,1372,1385,1386,1401,1415,1416,1417,1430,1431,1432,1445,1446,1447,1460,1461,1462,1475,1476,1477,1490,1491,1492,1504,1505,1506,1507,1519,1520,1521,1522,1535,1536,1537,1549,1550,1551,1565,1566,1567,1582,1595,1596,1597,1610,1611,1625,1626,1627,1641,1642,1643,1655,1656,1671,1685,1686,1687,1701,1702,1714,1715,1716,1717,1730,1731,1732,1744,1745,1746,1747,1761,1775,1776,1790,1791,1805,1806,1807,1808,1820,1821,1822,1823,1835,1836,1850,1851,3847,3848,3849,3850,3862,3863,3864,3865,3878,3879,3892,3893,3894,3907,3908,3909,3922,3923,3924,3937,3938,3939,3952,3953,3967,3968,3969,3981,3982,3983,3984,3997,3998,3999,4011,4012,4027,4028,4029,4042,4043,4044,4057,4058,4059,4072,4073,4074,4086,4087,4088,4089,4101,4102,4103,4104,4116,4117,4118,4119,4131,4132,4133,4134,4146,4147,4148,4149,4162,4163,4164,4177,4178,4193,4222,4223,4224,4237,4238,4239,4251,4252,4253,4254,4266,4267,4281,4282,4283,4296,4297,4298,4311,4312,4313,4314,4326,4327,4328,4341,4342,4343,4356,4357,4358,4359,4371,4373,4387,4388,4389,4402,4403,4432,4433,4448,energy,num_occurrences
0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,69.99999999999636,1
